,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Wheat,Rabi       ,57406.0,74317.0,0.7724477575790196
1,Bihar, ARARIA,Maize,Rabi       ,6808.0,74317.0,0.09160757296446305
2,Bihar, ARWAL,Wheat,Rabi       ,11051.0,16475.0,0.670773899848255
3,Bihar, ARWAL,Masoor,Rabi       ,2158.0,16475.0,0.13098634294385433
4,Bihar, AURANGABAD,Wheat,Rabi       ,56136.0,97098.0,0.5781375517518383
5,Bihar, AURANGABAD,Masoor,Rabi       ,14073.0,97098.0,0.14493604399678675
6,Bihar, BANKA,Wheat,Rabi       ,23643.0,31887.0,0.7414620378210556
7,Bihar, BANKA,Sugarcane,Whole Year ,3256.0,31887.0,0.10211057797848654
8,Bihar, BEGUSARAI,Wheat,Rabi       ,52684.0,77852.0,0.6767199301238247
9,Bihar, BEGUSARAI,Maize,Rabi       ,16654.0,77852.0,0.21391871756666495
10,Bihar, BHAGALPUR,Wheat,Rabi       ,43700.0,73476.0,0.5947520278730469
11,Bihar, BHAGALPUR,Maize,Rabi       ,12613.0,73476.0,0.17166149490990254
12,Bihar, BHOJPUR,Wheat,Rabi       ,77138.0,102876.0,0.749815311637311
13,Bihar, BHOJPUR,Masoor,Rabi       ,11714.0,102876.0,0.11386523581787783
14,Bihar, BUXAR,Wheat,Rabi       ,82831.0,94052.0,0.8806936588270319
15,Bihar, BUXAR,Masoor,Rabi       ,3620.0,94052.0,0.038489346319057545
16,Bihar, DARBHANGA,Wheat,Rabi       ,60982.0,80752.0,0.7551763423816128
17,Bihar, DARBHANGA,Maize,Rabi       ,15746.0,80752.0,0.1949920744997028
18,Bihar, GAYA,Wheat,Rabi       ,50861.0,62549.0,0.8131384994164575
19,Bihar, GAYA,Masoor,Rabi       ,4590.0,62549.0,0.07338246814497434
20,Bihar, GOPALGANJ,Wheat,Rabi       ,83427.0,121268.0,0.6879556024672626
21,Bihar, GOPALGANJ,Sugarcane,Whole Year ,30872.0,121268.0,0.25457664016888215
22,Bihar, JAMUI,Wheat,Rabi       ,7552.0,10888.0,0.6936076414401176
23,Bihar, JAMUI,Sugarcane,Whole Year ,2390.0,10888.0,0.2195077149155033
24,Bihar, JEHANABAD,Wheat,Rabi       ,34044.0,50487.0,0.674312199179987
25,Bihar, JEHANABAD,Khesari,Rabi       ,6667.0,50487.0,0.13205379602669995
26,Bihar, KAIMUR BHABUA,Wheat,Rabi       ,69459.0,87206.0,0.7964933605485861
27,Bihar, KAIMUR BHABUA,Gram,Rabi       ,6716.0,87206.0,0.07701304956081004
