,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Moong(Green Gram),Kharif     ,1475.0,3335.0,0.44227886056971516
1,Bihar, ARARIA,Horse-gram,Kharif     ,1178.0,3335.0,0.3532233883058471
2,Bihar, ARWAL,Arhar/Tur,Kharif     ,442.0,685.0,0.6452554744525547
3,Bihar, ARWAL,Sugarcane,Whole Year ,75.0,685.0,0.10948905109489052
4,Bihar, AURANGABAD,Arhar/Tur,Kharif     ,1177.0,1594.0,0.7383939774153074
5,Bihar, AURANGABAD,Moong(Green Gram),Kharif     ,186.0,1594.0,0.11668757841907151
6,Bihar, BANKA,Sugarcane,Whole Year ,2365.0,4275.0,0.5532163742690058
7,Bihar, BANKA,Arhar/Tur,Kharif     ,775.0,4275.0,0.18128654970760233
8,Bihar, BEGUSARAI,Sugarcane,Whole Year ,8166.0,11136.0,0.7332974137931034
9,Bihar, BEGUSARAI,Urad,Kharif     ,1138.0,11136.0,0.10219109195402298
10,Bihar, BHAGALPUR,Sugarcane,Whole Year ,5515.0,10253.0,0.5378913488735004
11,Bihar, BHAGALPUR,Urad,Kharif     ,2006.0,10253.0,0.19565005364283625
12,Bihar, BHOJPUR,Arhar/Tur,Kharif     ,1604.0,4025.0,0.39850931677018636
13,Bihar, BHOJPUR,Bajra,Kharif     ,881.0,4025.0,0.21888198757763974
14,Bihar, BUXAR,Bajra,Kharif     ,3185.0,5376.0,0.5924479166666666
15,Bihar, BUXAR,Jowar,Kharif     ,1151.0,5376.0,0.21409970238095238
16,Bihar, DARBHANGA,Sugarcane,Whole Year ,2189.0,3328.0,0.6577524038461539
17,Bihar, DARBHANGA,Ragi,Kharif     ,616.0,3328.0,0.18509615384615385
18,Bihar, GAYA,Moong(Green Gram),Kharif     ,1840.0,6192.0,0.2971576227390181
19,Bihar, GAYA,Arhar/Tur,Kharif     ,1057.0,6192.0,0.17070413436692505
20,Bihar, GOPALGANJ,Sugarcane,Whole Year ,22724.0,23858.0,0.9524687735769972
21,Bihar, GOPALGANJ,Arhar/Tur,Kharif     ,681.0,23858.0,0.028543884650850868
22,Bihar, JAMUI,Sugarcane,Whole Year ,646.0,1953.0,0.3307731694828469
23,Bihar, JAMUI,Horse-gram,Kharif     ,634.0,1953.0,0.32462877624167946
24,Bihar, JEHANABAD,Other Kharif pulses,Kharif     ,281.0,1476.0,0.19037940379403795
25,Bihar, JEHANABAD,Ragi,Kharif     ,202.0,1476.0,0.13685636856368563
26,Bihar, KAIMUR BHABUA,Arhar/Tur,Kharif     ,1800.0,2107.0,0.8542952064546749
27,Bihar, KAIMUR BHABUA,Sugarcane,Whole Year ,297.0,2107.0,0.14095870906502136
28,Bihar, KATIHAR,Urad,Kharif     ,3066.0,4102.0,0.7474402730375427
29,Bihar, KATIHAR,Moong(Green Gram),Kharif     ,380.0,4102.0,0.09263773768893223
30,Bihar, KHAGARIA,Urad,Kharif     ,2249.0,4154.0,0.5414058738565238
31,Bihar, KHAGARIA,Small millets,Kharif     ,796.0,4154.0,0.19162253249879635
32,Bihar, KISHANGANJ,Horse-gram,Kharif     ,611.0,1392.0,0.4389367816091954
33,Bihar, KISHANGANJ,Sesamum,Kharif     ,227.0,1392.0,0.16307471264367815
34,Bihar, LAKHISARAI,Arhar/Tur,Kharif     ,419.0,628.0,0.6671974522292994
35,Bihar, LAKHISARAI,Other Kharif pulses,Kharif     ,204.0,628.0,0.3248407643312102
36,Bihar, MADHEPURA,Sugarcane,Whole Year ,3920.0,5098.0,0.7689289917614751
37,Bihar, MADHEPURA,Urad,Kharif     ,449.0,5098.0,0.08807375441349549
38,Bihar, MADHUBANI,Ragi,Kharif     ,1736.0,3733.0,0.4650415215644254
39,Bihar, MADHUBANI,Urad,Kharif     ,957.0,3733.0,0.2563621751942138
40,Bihar, MUNGER,Sugarcane,Whole Year ,238.0,714.0,0.3333333333333333
41,Bihar, MUNGER,Moong(Green Gram),Kharif     ,130.0,714.0,0.18207282913165265
42,Bihar, MUZAFFARPUR,Sugarcane,Whole Year ,5863.0,8735.0,0.6712077847738981
43,Bihar, MUZAFFARPUR,Arhar/Tur,Kharif     ,1666.0,8735.0,0.19072696050372068
44,Bihar, NALANDA,Arhar/Tur,Kharif     ,460.0,1215.0,0.3786008230452675
45,Bihar, NALANDA,Moong(Green Gram),Kharif     ,344.0,1215.0,0.2831275720164609
46,Bihar, NAWADA,Arhar/Tur,Kharif     ,1085.0,2750.0,0.39454545454545453
47,Bihar, NAWADA,Groundnut,Kharif     ,394.0,2750.0,0.14327272727272727
48,Bihar, PASHCHIM CHAMPARAN,Sugarcane,Whole Year ,151761.0,153105.0,0.991221710590771
49,Bihar, PASHCHIM CHAMPARAN,Arhar/Tur,Kharif     ,617.0,153105.0,0.004029914111230854
50,Bihar, PATNA,Arhar/Tur,Kharif     ,619.0,1266.0,0.48894154818325436
51,Bihar, PATNA,Small millets,Kharif     ,309.0,1266.0,0.24407582938388625
52,Bihar, PURBI CHAMPARAN,Sugarcane,Whole Year ,21079.0,22978.0,0.9173557315693271
53,Bihar, PURBI CHAMPARAN,Arhar/Tur,Kharif     ,1342.0,22978.0,0.058403690486552355
54,Bihar, PURNIA,Moong(Green Gram),Kharif     ,495.0,1335.0,0.3707865168539326
55,Bihar, PURNIA,Horse-gram,Kharif     ,472.0,1335.0,0.3535580524344569
56,Bihar, ROHTAS,Arhar/Tur,Kharif     ,1078.0,1392.0,0.7744252873563219
57,Bihar, ROHTAS,Sugarcane,Whole Year ,157.0,1392.0,0.11278735632183907
58,Bihar, SAHARSA,Ragi,Kharif     ,735.0,1398.0,0.5257510729613734
59,Bihar, SAHARSA,Horse-gram,Kharif     ,353.0,1398.0,0.2525035765379113
60,Bihar, SAMASTIPUR,Tobacco,Whole Year ,3228.0,6284.0,0.5136855506047103
61,Bihar, SAMASTIPUR,Arhar/Tur,Kharif     ,956.0,6284.0,0.15213239974538512
62,Bihar, SARAN,Arhar/Tur,Kharif     ,863.0,2187.0,0.3946044810242341
63,Bihar, SARAN,Sugarcane,Whole Year ,518.0,2187.0,0.23685413808870598
64,Bihar, SHEIKHPURA,Arhar/Tur,Kharif     ,181.0,394.0,0.4593908629441624
65,Bihar, SHEIKHPURA,Sugarcane,Whole Year ,165.0,394.0,0.41878172588832485
66,Bihar, SHEOHAR,Sugarcane,Whole Year ,1984.0,2570.0,0.7719844357976654
67,Bihar, SHEOHAR,Arhar/Tur,Kharif     ,204.0,2570.0,0.07937743190661478
68,Bihar, SITAMARHI,Sugarcane,Whole Year ,16179.0,16585.0,0.9755200482363582
69,Bihar, SITAMARHI,Ragi,Kharif     ,184.0,16585.0,0.011094362375640638
70,Bihar, SIWAN,Sugarcane,Whole Year ,2642.0,5216.0,0.5065184049079755
71,Bihar, SIWAN,Arhar/Tur,Kharif     ,1191.0,5216.0,0.22833588957055215
72,Bihar, SUPAUL,Ragi,Kharif     ,1565.0,4070.0,0.3845208845208845
73,Bihar, SUPAUL,Horse-gram,Kharif     ,1092.0,4070.0,0.2683046683046683
74,Bihar, VAISHALI,Tobacco,Whole Year ,6272.0,8346.0,0.7514977234603403
75,Bihar, VAISHALI,Arhar/Tur,Kharif     ,728.0,8346.0,0.08722741433021806
76,Chhattisgarh, BALOD,Rice,Kharif     ,177182.0,181577.0,0.9757953925882683
77,Chhattisgarh, BALOD,Small millets,Kharif     ,1333.0,181577.0,0.007341238152409171
78,Chhattisgarh, BALODA BAZAR,Rice,Kharif     ,222135.0,228194.0,0.97344803106129
79,Chhattisgarh, BALODA BAZAR,Urad,Kharif     ,1923.0,228194.0,0.008427040150047766
80,Chhattisgarh, BALRAMPUR,Rice,Kharif     ,78612.0,146160.0,0.5378489326765189
