,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Wheat,Rabi       ,59272.0,73825.0,0.8028716559431087
1,Bihar, ARARIA,Maize,Rabi       ,5897.0,73825.0,0.07987809007788689
2,Bihar, ARWAL,Wheat,Rabi       ,10698.0,15877.0,0.673804874976381
3,Bihar, ARWAL,Masoor,Rabi       ,2241.0,15877.0,0.14114757195943817
4,Bihar, AURANGABAD,Wheat,Rabi       ,97579.0,142345.0,0.6855105553408971
5,Bihar, AURANGABAD,Masoor,Rabi       ,16311.0,142345.0,0.11458779725315255
6,Bihar, BANKA,Wheat,Rabi       ,22943.0,30597.0,0.7498447560218322
7,Bihar, BANKA,Sugarcane,Whole Year ,2365.0,30597.0,0.07729515965617544
8,Bihar, BEGUSARAI,Wheat,Rabi       ,52977.0,77539.0,0.6832303743922413
9,Bihar, BEGUSARAI,Maize,Rabi       ,14549.0,77539.0,0.18763460968028992
10,Bihar, BHAGALPUR,Wheat,Rabi       ,42909.0,76768.0,0.5589438307628178
11,Bihar, BHAGALPUR,Maize,Rabi       ,17135.0,76768.0,0.22320498124218424
12,Bihar, BHOJPUR,Wheat,Rabi       ,74136.0,95684.0,0.774800384599306
13,Bihar, BHOJPUR,Masoor,Rabi       ,10417.0,95684.0,0.10886877638894694
14,Bihar, BUXAR,Wheat,Rabi       ,80302.0,91870.0,0.8740829432894307
15,Bihar, BUXAR,Masoor,Rabi       ,3717.0,91870.0,0.04045934472624361
16,Bihar, DARBHANGA,Wheat,Rabi       ,59403.0,79784.0,0.7445477790033089
17,Bihar, DARBHANGA,Maize,Rabi       ,15620.0,79784.0,0.19577860222601023
18,Bihar, GAYA,Wheat,Rabi       ,65863.0,78510.0,0.8389122404789199
19,Bihar, GAYA,Masoor,Rabi       ,4716.0,78510.0,0.060068781047000384
20,Bihar, GOPALGANJ,Wheat,Rabi       ,84690.0,113757.0,0.7444816582715789
21,Bihar, GOPALGANJ,Sugarcane,Whole Year ,22724.0,113757.0,0.19975913570153925
22,Bihar, JAMUI,Wheat,Rabi       ,7523.0,9102.0,0.8265216435948143
23,Bihar, JAMUI,Sugarcane,Whole Year ,646.0,9102.0,0.07097341243682707
24,Bihar, JEHANABAD,Wheat,Rabi       ,35343.0,52383.0,0.6747036252219232
25,Bihar, JEHANABAD,Khesari,Rabi       ,6776.0,52383.0,0.12935494339766718
26,Bihar, KAIMUR BHABUA,Wheat,Rabi       ,81719.0,96261.0,0.8489315506799223
27,Bihar, KAIMUR BHABUA,Masoor,Rabi       ,4975.0,96261.0,0.051682405127725664
28,Bihar, KATIHAR,Wheat,Rabi       ,36423.0,64696.0,0.5629868925435885
29,Bihar, KATIHAR,Maize,Rabi       ,24879.0,64696.0,0.3845523679980215
30,Bihar, KHAGARIA,Maize,Rabi       ,33708.0,67349.0,0.5004974090186937
31,Bihar, KHAGARIA,Wheat,Rabi       ,29900.0,67349.0,0.4439561092221117
