,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
579,Uttar Pradesh, MATHURA,Rice,Kharif     ,47142.0,98804.0,0.4771264321282539
580,Uttar Pradesh, MATHURA,Bajra,Kharif     ,42720.0,98804.0,0.43237115906238616
581,Uttar Pradesh, MAU,Rice,Kharif     ,84040.0,94466.0,0.8896322486397222
582,Uttar Pradesh, MAU,Sugarcane,Kharif     ,6873.0,94466.0,0.07275633561281307
583,Uttar Pradesh, MEERUT,Sugarcane,Kharif     ,129711.0,149592.0,0.8670985079416011
584,Uttar Pradesh, MEERUT,Rice,Kharif     ,17605.0,149592.0,0.1176867746938339
585,Uttar Pradesh, MIRZAPUR,Rice,Kharif     ,64224.0,99212.0,0.6473410474539371
586,Uttar Pradesh, MIRZAPUR,Arhar/Tur,Kharif     ,13063.0,99212.0,0.13166754021690924
587,Uttar Pradesh, MORADABAD,Rice,Kharif     ,125006.0,257570.0,0.4853282602787592
588,Uttar Pradesh, MORADABAD,Sugarcane,Kharif     ,71306.0,257570.0,0.2768412470396397
589,Uttar Pradesh, MUZAFFARNAGAR,Sugarcane,Kharif     ,231873.0,270454.0,0.857347275322236
590,Uttar Pradesh, MUZAFFARNAGAR,Rice,Kharif     ,37128.0,270454.0,0.13728027686778527
591,Uttar Pradesh, PILIBHIT,Rice,Kharif     ,149172.0,206968.0,0.7207491013103475
592,Uttar Pradesh, PILIBHIT,Sugarcane,Kharif     ,56183.0,206968.0,0.2714574233697963
593,Uttar Pradesh, PRATAPGARH,Rice,Kharif     ,96664.0,124976.0,0.773460504416848
594,Uttar Pradesh, PRATAPGARH,Bajra,Kharif     ,10859.0,124976.0,0.0868886826270644
595,Uttar Pradesh, RAE BARELI,Rice,Kharif     ,80776.0,113611.0,0.7109874924083055
596,Uttar Pradesh, RAE BARELI,Urad,Kharif     ,10636.0,113611.0,0.09361769546962882
597,Uttar Pradesh, RAMPUR,Rice,Kharif     ,140906.0,170895.0,0.8245179788759179
598,Uttar Pradesh, RAMPUR,Sugarcane,Kharif     ,24643.0,170895.0,0.14419965475877
599,Uttar Pradesh, SAHARANPUR,Sugarcane,Kharif     ,142703.0,209055.0,0.6826098395159169
600,Uttar Pradesh, SAHARANPUR,Rice,Kharif     ,54830.0,209055.0,0.262275477745091
601,Uttar Pradesh, SANT KABEER NAGAR,Rice,Kharif     ,90035.0,99725.0,0.9028327901729757
602,Uttar Pradesh, SANT KABEER NAGAR,Sugarcane,Kharif     ,3877.0,99725.0,0.03887691150664327
603,Uttar Pradesh, SANT RAVIDAS NAGAR,Rice,Kharif     ,22116.0,39328.0,0.5623474369406021
604,Uttar Pradesh, SANT RAVIDAS NAGAR,Bajra,Kharif     ,9397.0,39328.0,0.23893917819365337
605,Uttar Pradesh, SHAHJAHANPUR,Rice,Kharif     ,211075.0,284996.0,0.7406244298165588
606,Uttar Pradesh, SHAHJAHANPUR,Sugarcane,Kharif     ,45579.0,284996.0,0.15992856040084774
607,Uttar Pradesh, SHRAVASTI,Rice,Kharif     ,71137.0,97965.0,0.7261470933496657
608,Uttar Pradesh, SHRAVASTI,Maize,Kharif     ,16140.0,97965.0,0.16475271780738018
609,Uttar Pradesh, SIDDHARTH NAGAR,Rice,Kharif     ,175157.0,180339.0,0.9712652282645462
610,Uttar Pradesh, SIDDHARTH NAGAR,Sugarcane,Kharif     ,2343.0,180339.0,0.012992198027049057
611,Uttar Pradesh, SITAPUR,Rice,Kharif     ,156947.0,322315.0,0.48693669236616355
612,Uttar Pradesh, SITAPUR,Sugarcane,Kharif     ,120267.0,322315.0,0.373134976653274
613,Uttar Pradesh, SONBHADRA,Rice,Kharif     ,27442.0,69035.0,0.3975085101759977
614,Uttar Pradesh, SONBHADRA,Maize,Kharif     ,13355.0,69035.0,0.19345259650901717
615,Uttar Pradesh, SULTANPUR,Rice,Kharif     ,90048.0,122433.0,0.7354879811815442
616,Uttar Pradesh, SULTANPUR,Sugarcane,Kharif     ,10140.0,122433.0,0.08282080811545907
617,Uttar Pradesh, UNNAO,Rice,Kharif     ,81000.0,163040.0,0.49681059862610405
618,Uttar Pradesh, UNNAO,Maize,Kharif     ,28135.0,163040.0,0.17256501472031405
619,Uttar Pradesh, VARANASI,Rice,Kharif     ,42021.0,64753.0,0.6489429061201798
620,Uttar Pradesh, VARANASI,Bajra,Kharif     ,5626.0,64753.0,0.08688400537426838
