,State,District,Crop,Area (Hectare),TotalDistrictArea,TopTwoCropArea,TopTwoCropAreaPercent
69,Bihar, SITAMARHI,Ragi,765.0,23216.0,22355.0,0.9629135079255686
70,Bihar, SIWAN,Sugarcane,5778.0,8233.0,6961.0,0.8454998178063889
71,Bihar, SIWAN,Arhar/Tur,1183.0,8233.0,6961.0,0.8454998178063889
72,Bihar, SUPAUL,Ragi,1427.0,4741.0,2714.0,0.5724530689727906
73,Bihar, SUPAUL,Horse-gram,1287.0,4741.0,2714.0,0.5724530689727906
74,Bihar, VAISHALI,Tobacco,4748.0,6368.0,5461.0,0.8575690954773869
75,Bihar, VAISHALI,Arhar/Tur,713.0,6368.0,5461.0,0.8575690954773869
76,Chhattisgarh, BASTAR,Rice,239376.0,311399.0,259618.0,0.8337149444924358
77,Chhattisgarh, BASTAR,Maize,20242.0,311399.0,259618.0,0.8337149444924358
78,Chhattisgarh, BIJAPUR,Rice,59639.0,63126.0,60341.0,0.9558818870196115
79,Chhattisgarh, BIJAPUR,Maize,702.0,63126.0,60341.0,0.9558818870196115
80,Chhattisgarh, BILASPUR,Rice,329117.0,352146.0,333664.0,0.947516087077519
81,Chhattisgarh, BILASPUR,Arhar/Tur,4547.0,352146.0,333664.0,0.947516087077519
82,Chhattisgarh, DANTEWADA,Rice,137791.0,195945.0,180762.0,0.9225139707571002
83,Chhattisgarh, DANTEWADA,Small millets,42971.0,195945.0,180762.0,0.9225139707571002
84,Chhattisgarh, DHAMTARI,Rice,168855.0,170104.0,169114.0,0.9941800310398344
85,Chhattisgarh, DHAMTARI,Maize,259.0,170104.0,169114.0,0.9941800310398344
86,Chhattisgarh, DURG,Rice,462087.0,513743.0,499385.0,0.9720521739468956
87,Chhattisgarh, DURG,Soyabean,37298.0,513743.0,499385.0,0.9720521739468956
88,Chhattisgarh, JANJGIRCHAMPA,Rice,254778.0,260840.0,256236.0,0.9823493329243981
89,Chhattisgarh, JANJGIRCHAMPA,Urad,1458.0,260840.0,256236.0,0.9823493329243981
90,Chhattisgarh, JASHPUR,Rice,179402.0,240572.0,200766.0,0.8345360224797566
91,Chhattisgarh, JASHPUR,Niger seed,21364.0,240572.0,200766.0,0.8345360224797566
92,Chhattisgarh, KABIRDHAM,Rice,95739.0,158698.0,128423.0,0.8092288497649623
93,Chhattisgarh, KABIRDHAM,Soyabean,32684.0,158698.0,128423.0,0.8092288497649623
94,Chhattisgarh, KANKER,Rice,173596.0,216498.0,189041.0,0.8731766575210856
95,Chhattisgarh, KANKER,Small millets,15445.0,216498.0,189041.0,0.8731766575210856
96,Chhattisgarh, KORBA,Rice,109207.0,131068.0,114684.0,0.8749961851863155
97,Chhattisgarh, KORBA,Horse-gram,5477.0,131068.0,114684.0,0.8749961851863155
