,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Wheat,Rabi       ,43539.0,65879.0,0.6608934561848236
1,Bihar, ARARIA,Maize,Rabi       ,19069.0,65879.0,0.2894549097588002
2,Bihar, ARWAL,Wheat,Rabi       ,10910.0,16713.0,0.6527852569855801
3,Bihar, ARWAL,Masoor,Rabi       ,2212.0,16713.0,0.1323520612696703
4,Bihar, AURANGABAD,Wheat,Rabi       ,76219.0,118605.0,0.6426288942287425
5,Bihar, AURANGABAD,Masoor,Rabi       ,15502.0,118605.0,0.13070275283504068
6,Bihar, BANKA,Wheat,Rabi       ,25627.0,33824.0,0.7576572847682119
7,Bihar, BANKA,Sugarcane,Whole Year ,2440.0,33824.0,0.07213812677388837
8,Bihar, BEGUSARAI,Wheat,Rabi       ,55148.0,74898.0,0.7363080456086945
9,Bihar, BEGUSARAI,Maize,Rabi       ,16134.0,74898.0,0.21541296162781381
10,Bihar, BHAGALPUR,Wheat,Rabi       ,46947.0,83039.0,0.565360854538229
11,Bihar, BHAGALPUR,Maize,Rabi       ,18475.0,83039.0,0.2224858199159431
12,Bihar, BHOJPUR,Wheat,Rabi       ,74643.0,97000.0,0.7695154639175258
13,Bihar, BHOJPUR,Masoor,Rabi       ,9702.0,97000.0,0.10002061855670102
14,Bihar, BUXAR,Wheat,Rabi       ,76680.0,88394.0,0.8674796931918456
15,Bihar, BUXAR,Masoor,Rabi       ,3981.0,88394.0,0.045036993461094646
16,Bihar, DARBHANGA,Wheat,Rabi       ,59394.0,79656.0,0.745631214221151
17,Bihar, DARBHANGA,Maize,Rabi       ,15538.0,79656.0,0.1950637742291855
18,Bihar, GAYA,Wheat,Rabi       ,58783.0,75223.0,0.7814498225276844
19,Bihar, GAYA,Masoor,Rabi       ,6525.0,75223.0,0.08674208686173111
20,Bihar, GOPALGANJ,Wheat,Rabi       ,78549.0,111112.0,0.7069353445172438
21,Bihar, GOPALGANJ,Sugarcane,Whole Year ,27119.0,111112.0,0.24406904744762042
22,Bihar, JAMUI,Wheat,Rabi       ,8673.0,11131.0,0.7791752762555026
23,Bihar, JAMUI,Gram,Rabi       ,1006.0,11131.0,0.09037822298086426
24,Bihar, JEHANABAD,Wheat,Rabi       ,23656.0,40781.0,0.5800740540938182
25,Bihar, JEHANABAD,Khesari,Rabi       ,6928.0,40781.0,0.16988303376572422
26,Bihar, KAIMUR BHABUA,Wheat,Rabi       ,81171.0,95626.0,0.8488381820843703
27,Bihar, KAIMUR BHABUA,Masoor,Rabi       ,4667.0,95626.0,0.048804718382029995
28,Bihar, KATIHAR,Wheat,Rabi       ,36617.0,64058.0,0.5716225920259764
29,Bihar, KATIHAR,Maize,Rabi       ,24859.0,64058.0,0.3880701863935808
30,Bihar, KHAGARIA,Maize,Rabi       ,34158.0,68402.0,0.4993713634104266
31,Bihar, KHAGARIA,Wheat,Rabi       ,30366.0,68402.0,0.44393438788339523
32,Bihar, KISHANGANJ,Wheat,Rabi       ,15914.0,20534.0,0.7750073049576313
33,Bihar, KISHANGANJ,Linseed,Rabi       ,1611.0,20534.0,0.07845524495957923
34,Bihar, LAKHISARAI,Wheat,Rabi       ,33708.0,47249.0,0.7134119240618849
35,Bihar, LAKHISARAI,Masoor,Rabi       ,5200.0,47249.0,0.11005523926432305
36,Bihar, MADHEPURA,Wheat,Rabi       ,30031.0,54461.0,0.5514221185802685
37,Bihar, MADHEPURA,Maize,Rabi       ,18702.0,54461.0,0.34340170029929673
38,Bihar, MADHUBANI,Wheat,Rabi       ,94002.0,103178.0,0.9110663125860164
39,Bihar, MADHUBANI,Masoor,Rabi       ,7273.0,103178.0,0.07048983310395628
40,Bihar, MUNGER,Wheat,Rabi       ,15903.0,18331.0,0.867546778680923
41,Bihar, MUNGER,Gram,Rabi       ,847.0,18331.0,0.0462058807484589
42,Bihar, MUZAFFARPUR,Wheat,Rabi       ,92734.0,114109.0,0.8126791050662087
43,Bihar, MUZAFFARPUR,Maize,Rabi       ,14641.0,114109.0,0.12830714492283693
44,Bihar, NALANDA,Wheat,Rabi       ,83861.0,106698.0,0.7859659974882378
45,Bihar, NALANDA,Masoor,Rabi       ,12551.0,106698.0,0.11763107087293108
46,Bihar, NAWADA,Wheat,Rabi       ,45493.0,53752.0,0.8463499032594136
47,Bihar, NAWADA,Masoor,Rabi       ,3812.0,53752.0,0.07091829141241256
48,Bihar, PASHCHIM CHAMPARAN,Sugarcane,Whole Year ,149977.0,237352.0,0.6318758636961138
49,Bihar, PASHCHIM CHAMPARAN,Wheat,Rabi       ,67961.0,237352.0,0.28633000775219924
50,Bihar, PATNA,Wheat,Rabi       ,60663.0,107491.0,0.5643542250048841
51,Bihar, PATNA,Masoor,Rabi       ,28297.0,107491.0,0.26324994650714945
52,Bihar, PURBI CHAMPARAN,Wheat,Rabi       ,114743.0,150347.0,0.7631878254970169
53,Bihar, PURBI CHAMPARAN,Sugarcane,Whole Year ,22789.0,150347.0,0.15157602080520396
54,Bihar, PURNIA,Wheat,Rabi       ,40319.0,56585.0,0.7125386586551206
55,Bihar, PURNIA,Maize,Rabi       ,11064.0,56585.0,0.19552885040205
