,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Wheat,Rabi       ,59272.0,74473.0,0.7958857572543069
1,Bihar, ARARIA,Maize,Rabi       ,5897.0,74473.0,0.07918305963234998
2,Bihar, ARWAL,Wheat,Rabi       ,10698.0,16027.0,0.6674985961190492
3,Bihar, ARWAL,Masoor,Rabi       ,2241.0,16027.0,0.13982654270917827
4,Bihar, AURANGABAD,Wheat,Rabi       ,73196.0,121925.0,0.6003362722985441
5,Bihar, AURANGABAD,Masoor,Rabi       ,17237.0,121925.0,0.1413737953660037
6,Bihar, BANKA,Wheat,Rabi       ,24050.0,30160.0,0.7974137931034483
7,Bihar, BANKA,Gram,Rabi       ,2398.0,30160.0,0.07950928381962864
8,Bihar, BEGUSARAI,Wheat,Rabi       ,52432.0,70788.0,0.7406905125162457
9,Bihar, BEGUSARAI,Maize,Rabi       ,16269.0,70788.0,0.2298270893371758
10,Bihar, BHAGALPUR,Wheat,Rabi       ,41222.0,65946.0,0.6250871925514815
11,Bihar, BHAGALPUR,Maize,Rabi       ,16580.0,65946.0,0.25141782670669943
12,Bihar, BHOJPUR,Wheat,Rabi       ,77372.0,101766.0,0.760293221704695
13,Bihar, BHOJPUR,Masoor,Rabi       ,11673.0,101766.0,0.11470432167914628
14,Bihar, BUXAR,Wheat,Rabi       ,81678.0,92728.0,0.8808342679665258
15,Bihar, BUXAR,Masoor,Rabi       ,3895.0,92728.0,0.04200457251315676
16,Bihar, DARBHANGA,Wheat,Rabi       ,59947.0,77909.0,0.7694489725192212
17,Bihar, DARBHANGA,Maize,Rabi       ,15478.0,77909.0,0.19866767639168773
18,Bihar, GAYA,Wheat,Rabi       ,65902.0,78035.0,0.8445184852950599
19,Bihar, GAYA,Masoor,Rabi       ,4716.0,78035.0,0.06043442045236112
20,Bihar, GOPALGANJ,Wheat,Rabi       ,83865.0,90141.0,0.9303757446666888
21,Bihar, GOPALGANJ,Maize,Rabi       ,5193.0,90141.0,0.05760974473325124
22,Bihar, JAMUI,Wheat,Rabi       ,7516.0,8460.0,0.8884160756501182
23,Bihar, JAMUI,Gram,Rabi       ,467.0,8460.0,0.055200945626477545
24,Bihar, JEHANABAD,Wheat,Rabi       ,34810.0,51316.0,0.6783459349910359
25,Bihar, JEHANABAD,Khesari,Rabi       ,6706.0,51316.0,0.13068048951594044
26,Bihar, KAIMUR BHABUA,Wheat,Rabi       ,69015.0,85274.0,0.8093322700940497
27,Bihar, KAIMUR BHABUA,Gram,Rabi       ,6615.0,85274.0,0.07757346905270071
28,Bihar, KATIHAR,Wheat,Rabi       ,37298.0,65051.0,0.57336551321271
29,Bihar, KATIHAR,Maize,Rabi       ,25043.0,65051.0,0.3849748658744677
30,Bihar, KHAGARIA,Maize,Rabi       ,33708.0,67515.0,0.49926682959342367
31,Bihar, KHAGARIA,Wheat,Rabi       ,30115.0,67515.0,0.44604902614233877
32,Bihar, KISHANGANJ,Wheat,Rabi       ,18403.0,22945.0,0.8020483765526258
33,Bihar, KISHANGANJ,Linseed,Rabi       ,1966.0,22945.0,0.08568315537154064
34,Bihar, LAKHISARAI,Wheat,Rabi       ,52615.0,75777.0,0.6943399712313763
35,Bihar, LAKHISARAI,Masoor,Rabi       ,9476.0,75777.0,0.12505113688850178
36,Bihar, MADHEPURA,Wheat,Rabi       ,38673.0,62283.0,0.6209238475988632
37,Bihar, MADHEPURA,Maize,Rabi       ,16207.0,62283.0,0.26021546810526147
38,Bihar, MADHUBANI,Wheat,Rabi       ,89940.0,99178.0,0.9068543426969691
39,Bihar, MADHUBANI,Masoor,Rabi       ,7212.0,99178.0,0.07271773982133134
40,Bihar, MUNGER,Wheat,Rabi       ,15447.0,19518.0,0.7914233015677836
41,Bihar, MUNGER,Gram,Rabi       ,1294.0,19518.0,0.06629777641151757
42,Bihar, MUZAFFARPUR,Wheat,Rabi       ,87490.0,107102.0,0.816884838751844
43,Bihar, MUZAFFARPUR,Maize,Rabi       ,14982.0,107102.0,0.13988534294410934
44,Bihar, NALANDA,Wheat,Rabi       ,78592.0,102689.0,0.7653400072062246
45,Bihar, NALANDA,Masoor,Rabi       ,15150.0,102689.0,0.14753284188179844
46,Bihar, NAWADA,Wheat,Rabi       ,49082.0,56746.0,0.8649420223451874
47,Bihar, NAWADA,Masoor,Rabi       ,3756.0,56746.0,0.06618968737884609
