,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Moong(Green Gram),Kharif     ,1225.0,3104.0,0.3946520618556701
1,Bihar, ARARIA,Horse-gram,Kharif     ,902.0,3104.0,0.29059278350515466
2,Bihar, ARWAL,Arhar/Tur,Kharif     ,453.0,590.0,0.7677966101694915
3,Bihar, ARWAL,Moong(Green Gram),Kharif     ,43.0,590.0,0.07288135593220339
4,Bihar, AURANGABAD,Arhar/Tur,Kharif     ,809.0,913.0,0.8860898138006572
5,Bihar, AURANGABAD,Sugarcane,Whole Year ,91.0,913.0,0.09967141292442497
6,Bihar, BANKA,Horse-gram,Kharif     ,1040.0,3672.0,0.28322440087145967
7,Bihar, BANKA,Arhar/Tur,Kharif     ,836.0,3672.0,0.22766884531590414
8,Bihar, BEGUSARAI,Urad,Kharif     ,1113.0,3811.0,0.29204933088428237
9,Bihar, BEGUSARAI,Sugarcane,Whole Year ,1112.0,3811.0,0.2917869325636316
10,Bihar, BHAGALPUR,Urad,Kharif     ,6283.0,11716.0,0.5362751792420621
11,Bihar, BHAGALPUR,Sugarcane,Whole Year ,2111.0,11716.0,0.1801809491293957
12,Bihar, BHOJPUR,Arhar/Tur,Kharif     ,1635.0,4481.0,0.36487391207319797
13,Bihar, BHOJPUR,Bajra,Kharif     ,1176.0,4481.0,0.2624414193260433
14,Bihar, BUXAR,Bajra,Kharif     ,1553.0,2824.0,0.5499291784702549
15,Bihar, BUXAR,Arhar/Tur,Kharif     ,423.0,2824.0,0.14978753541076487
16,Bihar, DARBHANGA,Ragi,Kharif     ,756.0,1313.0,0.5757806549885758
17,Bihar, DARBHANGA,Moong(Green Gram),Kharif     ,182.0,1313.0,0.13861386138613863
18,Bihar, GAYA,Arhar/Tur,Kharif     ,1369.0,3368.0,0.4064726840855107
19,Bihar, GAYA,Horse-gram,Kharif     ,620.0,3368.0,0.1840855106888361
20,Bihar, GOPALGANJ,Sugarcane,Whole Year ,26926.0,28820.0,0.9342817487855656
21,Bihar, GOPALGANJ,Arhar/Tur,Kharif     ,1172.0,28820.0,0.04066620402498265
22,Bihar, JAMUI,Horse-gram,Kharif     ,635.0,844.0,0.7523696682464455
23,Bihar, JAMUI,Arhar/Tur,Kharif     ,77.0,844.0,0.09123222748815166
24,Bihar, JEHANABAD,Sugarcane,Whole Year ,216.0,445.0,0.4853932584269663
25,Bihar, JEHANABAD,Arhar/Tur,Kharif     ,138.0,445.0,0.3101123595505618
26,Bihar, KAIMUR BHABUA,Arhar/Tur,Kharif     ,1974.0,2400.0,0.8225
27,Bihar, KAIMUR BHABUA,Sugarcane,Whole Year ,365.0,2400.0,0.15208333333333332
28,Bihar, KATIHAR,Urad,Kharif     ,4362.0,5313.0,0.821005081874647
29,Bihar, KATIHAR,Horse-gram,Kharif     ,426.0,5313.0,0.08018068887634106
30,Bihar, KHAGARIA,Urad,Kharif     ,2724.0,4388.0,0.6207839562443026
31,Bihar, KHAGARIA,Small millets,Kharif     ,892.0,4388.0,0.203281677301732
32,Bihar, KISHANGANJ,Moong(Green Gram),Kharif     ,834.0,2026.0,0.4116485686080948
33,Bihar, KISHANGANJ,Horse-gram,Kharif     ,574.0,2026.0,0.2833168805528134
34,Bihar, LAKHISARAI,Arhar/Tur,Kharif     ,184.0,184.0,1.0
35,Bihar, MADHEPURA,Urad,Kharif     ,588.0,2189.0,0.26861580630424853
36,Bihar, MADHEPURA,Horse-gram,Kharif     ,441.0,2189.0,0.2014618547281864
37,Bihar, MADHUBANI,Ragi,Kharif     ,2622.0,4575.0,0.5731147540983607
38,Bihar, MADHUBANI,Urad,Kharif     ,976.0,4575.0,0.21333333333333335
39,Bihar, MUNGER,Moong(Green Gram),Kharif     ,333.0,995.0,0.33467336683417087
40,Bihar, MUNGER,Horse-gram,Kharif     ,305.0,995.0,0.3065326633165829
41,Bihar, MUZAFFARPUR,Arhar/Tur,Kharif     ,1299.0,3364.0,0.3861474435196195
42,Bihar, MUZAFFARPUR,Sugarcane,Whole Year ,1123.0,3364.0,0.3338287752675386
43,Bihar, NALANDA,Arhar/Tur,Kharif     ,266.0,578.0,0.4602076124567474
44,Bihar, NALANDA,Moong(Green Gram),Kharif     ,124.0,578.0,0.21453287197231835
45,Bihar, NAWADA,Arhar/Tur,Kharif     ,811.0,1994.0,0.4067201604814443
46,Bihar, NAWADA,Horse-gram,Kharif     ,411.0,1994.0,0.20611835506519557
47,Bihar, PASHCHIM CHAMPARAN,Sugarcane,Whole Year ,21226.0,27932.0,0.7599169411427753
48,Bihar, PASHCHIM CHAMPARAN,Arhar/Tur,Kharif     ,5926.0,27932.0,0.2121580982385794
49,Bihar, PATNA,Arhar/Tur,Kharif     ,494.0,806.0,0.6129032258064516
50,Bihar, PATNA,Sugarcane,Whole Year ,303.0,806.0,0.3759305210918114
51,Bihar, PURBI CHAMPARAN,Sugarcane,Whole Year ,5540.0,7786.0,0.7115335217056254
52,Bihar, PURBI CHAMPARAN,Arhar/Tur,Kharif     ,1336.0,7786.0,0.17159003339326998
53,Bihar, PURNIA,Moong(Green Gram),Kharif     ,823.0,1968.0,0.4181910569105691
54,Bihar, PURNIA,Horse-gram,Kharif     ,783.0,1968.0,0.3978658536585366
55,Bihar, ROHTAS,Arhar/Tur,Kharif     ,480.0,697.0,0.6886657101865137
56,Bihar, ROHTAS,Horse-gram,Kharif     ,94.0,697.0,0.13486370157819225
57,Bihar, SAHARSA,Ragi,Kharif     ,882.0,1742.0,0.5063145809414467
58,Bihar, SAHARSA,Horse-gram,Kharif     ,643.0,1742.0,0.36911595866819746
59,Bihar, SAMASTIPUR,Tobacco,Whole Year ,3691.0,8697.0,0.4243992181211912
60,Bihar, SAMASTIPUR,Sugarcane,Whole Year ,2957.0,8697.0,0.3400022996435553
61,Bihar, SARAN,Arhar/Tur,Kharif     ,970.0,1836.0,0.528322440087146
62,Bihar, SARAN,Ragi,Kharif     ,327.0,1836.0,0.1781045751633987
63,Bihar, SHEIKHPURA,Arhar/Tur,Kharif     ,192.0,274.0,0.7007299270072993
64,Bihar, SHEIKHPURA,Jowar,Kharif     ,51.0,274.0,0.18613138686131386
65,Bihar, SHEOHAR,Sugarcane,Whole Year ,3192.0,3359.0,0.9502828222685323
66,Bihar, SHEOHAR,Arhar/Tur,Kharif     ,116.0,3359.0,0.03453408752604942
67,Bihar, SITAMARHI,Sugarcane,Whole Year ,2521.0,3899.0,0.6465760451397794
68,Bihar, SITAMARHI,Ragi,Kharif     ,743.0,3899.0,0.19056168248268787
69,Bihar, SIWAN,Sugarcane,Whole Year ,2519.0,5713.0,0.44092420794678805
70,Bihar, SIWAN,Arhar/Tur,Kharif     ,1640.0,5713.0,0.28706458953264485
71,Bihar, SUPAUL,Ragi,Kharif     ,1690.0,4152.0,0.40703275529865124
72,Bihar, SUPAUL,Horse-gram,Kharif     ,1339.0,4152.0,0.322495183044316
73,Bihar, VAISHALI,Tobacco,Whole Year ,4610.0,6821.0,0.6758539803547867
74,Bihar, VAISHALI,Arhar/Tur,Kharif     ,745.0,6821.0,0.10922152177100132
75,Chhattisgarh, BASTAR,Rice,Kharif     ,240074.0,312932.0,0.7671762555443356
76,Chhattisgarh, BASTAR,Maize,Kharif     ,19188.0,312932.0,0.061316835606457634
77,Chhattisgarh, BIJAPUR,Rice,Kharif     ,58042.0,61404.0,0.9452478665884959
78,Chhattisgarh, BIJAPUR,Small millets,Kharif     ,746.0,61404.0,0.01214904566477754
79,Chhattisgarh, BILASPUR,Rice,Kharif     ,305253.0,334793.0,0.9117663750436837
80,Chhattisgarh, BILASPUR,Arhar/Tur,Kharif     ,6152.0,334793.0,0.01837553353863432
81,Chhattisgarh, DANTEWADA,Rice,Kharif     ,132580.0,190137.0,0.6972866932790567
82,Chhattisgarh, DANTEWADA,Small millets,Kharif     ,43551.0,190137.0,0.2290506319127787
83,Chhattisgarh, DHAMTARI,Rice,Kharif     ,143904.0,145684.0,0.9877817742511189
84,Chhattisgarh, DHAMTARI,Maize,Kharif     ,375.0,145684.0,0.002574064413387881
85,Chhattisgarh, DURG,Rice,Kharif     ,451263.0,497848.0,0.9064272629396924
86,Chhattisgarh, DURG,Soyabean,Kharif     ,31683.0,497848.0,0.06363990615609584
