,State,District,Crop,Season,Area (Hectare),TotalDistrictArea,TopTwoCropAreaPercent
0,Bihar, ARARIA,Wheat,Rabi       ,39141.0,58080.0,0.6739152892561984
1,Bihar, ARARIA,Maize,Rabi       ,18346.0,58080.0,0.31587465564738293
2,Bihar, ARWAL,Wheat,Rabi       ,10776.0,17113.0,0.6296967217904517
3,Bihar, ARWAL,Masoor,Rabi       ,3624.0,17113.0,0.21176883071349267
4,Bihar, AURANGABAD,Wheat,Rabi       ,79123.0,118848.0,0.6657495288099085
5,Bihar, AURANGABAD,Masoor,Rabi       ,13612.0,118848.0,0.11453284868066774
6,Bihar, BANKA,Wheat,Rabi       ,25854.0,33479.0,0.7722452880910421
7,Bihar, BANKA,Sugarcane,Whole Year ,2960.0,33479.0,0.08841363242629709
8,Bihar, BEGUSARAI,Wheat,Rabi       ,53924.0,73924.0,0.7294518694875819
9,Bihar, BEGUSARAI,Maize,Rabi       ,15264.0,73924.0,0.20648233320707754
10,Bihar, BHAGALPUR,Wheat,Rabi       ,46378.0,82570.0,0.5616809979411409
11,Bihar, BHAGALPUR,Maize,Rabi       ,18452.0,82570.0,0.22347099430786
12,Bihar, BHOJPUR,Wheat,Rabi       ,74572.0,94165.0,0.7919290606913396
13,Bihar, BHOJPUR,Masoor,Rabi       ,9625.0,94165.0,0.10221419848138905
14,Bihar, BUXAR,Wheat,Rabi       ,79483.0,93750.0,0.8478186666666667
15,Bihar, BUXAR,Khesari,Rabi       ,4965.0,93750.0,0.05296
16,Bihar, DARBHANGA,Wheat,Rabi       ,59395.0,76922.0,0.7721458100413405
17,Bihar, DARBHANGA,Maize,Rabi       ,12522.0,76922.0,0.1627882790359065
18,Bihar, GAYA,Wheat,Rabi       ,72154.0,87439.0,0.8251924198584156
19,Bihar, GAYA,Masoor,Rabi       ,6948.0,87439.0,0.07946111003099303
20,Bihar, GOPALGANJ,Wheat,Rabi       ,73939.0,108854.0,0.6792492696639536
21,Bihar, GOPALGANJ,Sugarcane,Whole Year ,24795.0,108854.0,0.22778216693920297
22,Bihar, JAMUI,Wheat,Rabi       ,11332.0,16488.0,0.6872877244056284
23,Bihar, JAMUI,Gram,Rabi       ,2140.0,16488.0,0.12979136341581757
24,Bihar, JEHANABAD,Wheat,Rabi       ,23385.0,38939.0,0.6005547137830967
25,Bihar, JEHANABAD,Khesari,Rabi       ,6176.0,38939.0,0.15860705205577955
26,Bihar, KAIMUR BHABUA,Wheat,Rabi       ,84502.0,98179.0,0.8606932236017886
27,Bihar, KAIMUR BHABUA,Masoor,Rabi       ,4888.0,98179.0,0.049786614245408894
28,Bihar, KATIHAR,Wheat,Rabi       ,39459.0,58911.0,0.6698069969954678
29,Bihar, KATIHAR,Maize,Rabi       ,14582.0,58911.0,0.24752592894366077
30,Bihar, KHAGARIA,Maize,Rabi       ,34162.0,68415.0,0.4993349411678725
31,Bihar, KHAGARIA,Wheat,Rabi       ,30369.0,68415.0,0.4438938829204122
32,Bihar, KISHANGANJ,Wheat,Rabi       ,14080.0,18387.0,0.7657584162723663
33,Bihar, KISHANGANJ,Linseed,Rabi       ,1696.0,18387.0,0.09223908196008049
34,Bihar, LAKHISARAI,Wheat,Rabi       ,29699.0,41017.0,0.7240656313235976
35,Bihar, LAKHISARAI,Masoor,Rabi       ,4128.0,41017.0,0.10064119755223444
36,Bihar, MADHEPURA,Wheat,Rabi       ,31094.0,55121.0,0.5641044248108706
37,Bihar, MADHEPURA,Maize,Rabi       ,17807.0,55121.0,0.32305291993976887
38,Bihar, MADHUBANI,Wheat,Rabi       ,90053.0,99378.0,0.9061663547263982
